person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
0,0.338,0.359,0.1348333333333333,0.14066666666666666,Round
0,0.349,0.372,0.1348333333333333,0.14066666666666666,Round
0,0.344,0.366,0.1348333333333333,0.14066666666666666,Round
0,0.352,0.379,0.1348333333333333,0.14066666666666666,Round
0,0.355,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.364,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.356,0.380,0.1348333333333333,0.14066666666666666,Round
0,0.361,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.388,0.1348333333333333,0.14066666666666666,Round
0,0.350,0.372,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.360,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.364,0.388,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.357,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.355,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.355,0.378,0.1348333333333333,0.14066666666666666,Round
0,0.357,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.361,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.233,0.237,0.1348333333333333,0.14066666666666666,Round
0,0.216,0.212,0.1348333333333333,0.14066666666666666,Round
0,0.242,0.240,0.1348333333333333,0.14066666666666666,Round
0,0.237,0.234,0.1348333333333333,0.14066666666666666,Round
0,0.234,0.236,0.1348333333333333,0.14066666666666666,Round
0,0.224,0.221,0.1348333333333333,0.14066666666666666,Round
0,0.233,0.232,0.1348333333333333,0.14066666666666666,Round
0,0.231,0.229,0.1348333333333333,0.14066666666666666,Round
0,0.230,0.233,0.1348333333333333,0.14066666666666666,Round
0,0.232,0.228,0.1348333333333333,0.14066666666666666,Round
0,0.249,0.254,0.1348333333333333,0.14066666666666666,Round
0,0.247,0.248,0.1348333333333333,0.14066666666666666,Round
0,0.288,0.296,0.1348333333333333,0.14066666666666666,Round
0,0.307,0.324,0.1348333333333333,0.14066666666666666,Round
0,0.310,0.325,0.1348333333333333,0.14066666666666666,Round
0,0.321,0.337,0.1348333333333333,0.14066666666666666,Round
0,0.335,0.355,0.1348333333333333,0.14066666666666666,Round
0,0.345,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.379,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.352,0.373,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.376,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.375,0.1348333333333333,0.14066666666666666,Round
0,0.356,0.378,0.1348333333333333,0.14066666666666666,Round
0,0.361,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.344,0.364,0.1348333333333333,0.14066666666666666,Round
0,0.260,0.268,0.1348333333333333,0.14066666666666666,Round
0,0.223,0.221,0.1348333333333333,0.14066666666666666,Round
0,0.221,0.225,0.1348333333333333,0.14066666666666666,Round
0,0.223,0.222,0.1348333333333333,0.14066666666666666,Round
0,0.238,0.239,0.1348333333333333,0.14066666666666666,Round
0,0.230,0.230,0.1348333333333333,0.14066666666666666,Round
0,0.235,0.236,0.1348333333333333,0.14066666666666666,Round
0,0.224,0.224,0.1348333333333333,0.14066666666666666,Round
0,0.249,0.249,0.1348333333333333,0.14066666666666666,Round
0,0.242,0.243,0.1348333333333333,0.14066666666666666,Round
0,0.256,0.259,0.1348333333333333,0.14066666666666666,Round
0,0.250,0.253,0.1348333333333333,0.14066666666666666,Round
0,0.268,0.270,0.1348333333333333,0.14066666666666666,Round
0,0.296,0.301,0.1348333333333333,0.14066666666666666,Round
0,0.317,0.333,0.1348333333333333,0.14066666666666666,Round
0,0.331,0.349,0.1348333333333333,0.14066666666666666,Round
0,0.340,0.358,0.1348333333333333,0.14066666666666666,Round
0,0.343,0.363,0.1348333333333333,0.14066666666666666,Round
0,0.344,0.365,0.1348333333333333,0.14066666666666666,Round
0,0.365,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.350,0.374,0.1348333333333333,0.14066666666666666,Round
0,0.349,0.371,0.1348333333333333,0.14066666666666666,Round
0,0.343,0.362,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.357,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.356,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.354,0.374,0.1348333333333333,0.14066666666666666,Round
0,0.357,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.362,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.348,0.366,0.1348333333333333,0.14066666666666666,Round
0,0.276,0.287,0.1348333333333333,0.14066666666666666,Round
0,0.229,0.224,0.1348333333333333,0.14066666666666666,Round
0,0.234,0.237,0.1348333333333333,0.14066666666666666,Round
0,0.223,0.226,0.1348333333333333,0.14066666666666666,Round
0,0.225,0.221,0.1348333333333333,0.14066666666666666,Round
0,0.237,0.236,0.1348333333333333,0.14066666666666666,Round
0,0.230,0.225,0.1348333333333333,0.14066666666666666,Round
0,0.249,0.249,0.1348333333333333,0.14066666666666666,Round
0,0.243,0.245,0.1348333333333333,0.14066666666666666,Round
0,0.272,0.280,0.1348333333333333,0.14066666666666666,Round
0,0.294,0.304,0.1348333333333333,0.14066666666666666,Round
0,0.313,0.328,0.1348333333333333,0.14066666666666666,Round
0,0.323,0.337,0.1348333333333333,0.14066666666666666,Round
0,0.343,0.360,0.1348333333333333,0.14066666666666666,Round
0,0.341,0.360,0.1348333333333333,0.14066666666666666,Round
0,0.341,0.360,0.1348333333333333,0.14066666666666666,Round
0,0.343,0.364,0.1348333333333333,0.14066666666666666,Round
0,0.347,0.368,0.1348333333333333,0.14066666666666666,Round
0,0.345,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.376,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.380,0.1348333333333333,0.14066666666666666,Round
0,0.364,0.389,0.1348333333333333,0.14066666666666666,Round
0,0.362,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.349,0.370,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.341,0.359,0.1348333333333333,0.14066666666666666,Round
0,0.251,0.254,0.1348333333333333,0.14066666666666666,Round
0,0.232,0.228,0.1348333333333333,0.14066666666666666,Round
0,0.233,0.232,0.1348333333333333,0.14066666666666666,Round
0,0.233,0.237,0.1348333333333333,0.14066666666666666,Round
0,0.248,0.249,0.1348333333333333,0.14066666666666666,Round
0,0.241,0.245,0.1348333333333333,0.14066666666666666,Round
0,0.253,0.253,0.1348333333333333,0.14066666666666666,Round
0,0.265,0.272,0.1348333333333333,0.14066666666666666,Round
0,0.270,0.277,0.1348333333333333,0.14066666666666666,Round
0,0.294,0.300,0.1348333333333333,0.14066666666666666,Round
0,0.307,0.322,0.1348333333333333,0.14066666666666666,Round
0,0.337,0.359,0.1348333333333333,0.14066666666666666,Round
0,0.332,0.348,0.1348333333333333,0.14066666666666666,Round
0,0.338,0.361,0.1348333333333333,0.14066666666666666,Round
0,0.346,0.361,0.1348333333333333,0.14066666666666666,Round
0,0.347,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.344,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.351,0.374,0.1348333333333333,0.14066666666666666,Round
0,0.347,0.371,0.1348333333333333,0.14066666666666666,Round
0,0.360,0.384,0.1348333333333333,0.14066666666666666,Round
0,0.355,0.377,0.1348333333333333,0.14066666666666666,Round
0,0.360,0.384,0.1348333333333333,0.14066666666666666,Round
0,0.365,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.360,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.375,0.1348333333333333,0.14066666666666666,Round
0,0.302,0.314,0.1348333333333333,0.14066666666666666,Round
0,0.240,0.243,0.1348333333333333,0.14066666666666666,Round
0,0.216,0.213,0.1348333333333333,0.14066666666666666,Round
0,0.224,0.226,0.1348333333333333,0.14066666666666666,Round
0,0.221,0.223,0.1348333333333333,0.14066666666666666,Round
0,0.231,0.233,0.1348333333333333,0.14066666666666666,Round
0,0.222,0.222,0.1348333333333333,0.14066666666666666,Round
0,0.229,0.231,0.1348333333333333,0.14066666666666666,Round
0,0.236,0.233,0.1348333333333333,0.14066666666666666,Round
0,0.233,0.238,0.1348333333333333,0.14066666666666666,Round
0,0.243,0.242,0.1348333333333333,0.14066666666666666,Round
0,0.248,0.252,0.1348333333333333,0.14066666666666666,Round
0,0.278,0.282,0.1348333333333333,0.14066666666666666,Round
0,0.303,0.319,0.1348333333333333,0.14066666666666666,Round
0,0.331,0.346,0.1348333333333333,0.14066666666666666,Round
0,0.339,0.355,0.1348333333333333,0.14066666666666666,Round
0,0.348,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.344,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.352,0.372,0.1348333333333333,0.14066666666666666,Round
0,0.360,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.382,0.1348333333333333,0.14066666666666666,Round
0,0.348,0.373,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.362,0.388,0.1348333333333333,0.14066666666666666,Round
0,0.354,0.380,0.1348333333333333,0.14066666666666666,Round
0,0.365,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.365,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.378,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.293,0.304,0.1348333333333333,0.14066666666666666,Round
0,0.239,0.245,0.1348333333333333,0.14066666666666666,Round
0,0.243,0.242,0.1348333333333333,0.14066666666666666,Round
0,0.224,0.219,0.1348333333333333,0.14066666666666666,Round
0,0.230,0.234,0.1348333333333333,0.14066666666666666,Round
0,0.228,0.231,0.1348333333333333,0.14066666666666666,Round
0,0.224,0.223,0.1348333333333333,0.14066666666666666,Round
0,0.230,0.231,0.1348333333333333,0.14066666666666666,Round
0,0.220,0.217,0.1348333333333333,0.14066666666666666,Round
0,0.233,0.234,0.1348333333333333,0.14066666666666666,Round
0,0.231,0.227,0.1348333333333333,0.14066666666666666,Round
0,0.250,0.255,0.1348333333333333,0.14066666666666666,Round
0,0.243,0.249,0.1348333333333333,0.14066666666666666,Round
0,0.260,0.261,0.1348333333333333,0.14066666666666666,Round
0,0.288,0.298,0.1348333333333333,0.14066666666666666,Round
0,0.340,0.357,0.1348333333333333,0.14066666666666666,Round
0,0.336,0.357,0.1348333333333333,0.14066666666666666,Round
0,0.348,0.366,0.1348333333333333,0.14066666666666666,Round
0,0.348,0.369,0.1348333333333333,0.14066666666666666,Round
0,0.347,0.370,0.1348333333333333,0.14066666666666666,Round
0,0.361,0.382,0.1348333333333333,0.14066666666666666,Round
0,0.343,0.366,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.372,0.1348333333333333,0.14066666666666666,Round
0,0.352,0.372,0.1348333333333333,0.14066666666666666,Round
0,0.360,0.384,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.375,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.377,0.1348333333333333,0.14066666666666666,Round
0,0.362,0.389,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.377,0.1348333333333333,0.14066666666666666,Round
0,0.350,0.376,0.1348333333333333,0.14066666666666666,Round
0,0.266,0.274,0.1348333333333333,0.14066666666666666,Round
0,0.256,0.256,0.1348333333333333,0.14066666666666666,Round
0,0.220,0.222,0.1348333333333333,0.14066666666666666,Round
0,0.227,0.234,0.1348333333333333,0.14066666666666666,Round
0,0.230,0.235,0.1348333333333333,0.14066666666666666,Round
0,0.221,0.221,0.1348333333333333,0.14066666666666666,Round
0,0.223,0.224,0.1348333333333333,0.14066666666666666,Round
0,0.223,0.224,0.1348333333333333,0.14066666666666666,Round
0,0.219,0.221,0.1348333333333333,0.14066666666666666,Round
0,0.240,0.240,0.1348333333333333,0.14066666666666666,Round
0,0.252,0.250,0.1348333333333333,0.14066666666666666,Round
0,0.256,0.260,0.1348333333333333,0.14066666666666666,Round
0,0.287,0.299,0.1348333333333333,0.14066666666666666,Round
0,0.314,0.328,0.1348333333333333,0.14066666666666666,Round
0,0.312,0.326,0.1348333333333333,0.14066666666666666,Round
0,0.330,0.349,0.1348333333333333,0.14066666666666666,Round
0,0.330,0.350,0.1348333333333333,0.14066666666666666,Round
0,0.350,0.369,0.1348333333333333,0.14066666666666666,Round
0,0.351,0.373,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.376,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.355,0.379,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.378,0.1348333333333333,0.14066666666666666,Round
0,0.361,0.389,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.384,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.357,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.355,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.362,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.355,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.365,0.391,0.1348333333333333,0.14066666666666666,Round
0,0.384,0.413,0.1348333333333333,0.14066666666666666,Round
0,0.389,0.420,0.1348333333333333,0.14066666666666666,Round
0,0.380,0.408,0.1348333333333333,0.14066666666666666,Round
0,0.380,0.409,0.1348333333333333,0.14066666666666666,Round
0,0.389,0.419,0.1348333333333333,0.14066666666666666,Round
0,0.379,0.407,0.1348333333333333,0.14066666666666666,Round
0,0.380,0.407,0.1348333333333333,0.14066666666666666,Round
0,0.377,0.405,0.1348333333333333,0.14066666666666666,Round
0,0.375,0.403,0.1348333333333333,0.14066666666666666,Round
0,0.362,0.391,0.1348333333333333,0.14066666666666666,Round
0,0.377,0.407,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.351,0.374,0.1348333333333333,0.14066666666666666,Round
0,0.385,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.374,0.380,0.1348333333333333,0.14066666666666666,Round
0,0.361,0.370,0.1348333333333333,0.14066666666666666,Round
0,0.353,0.364,0.1348333333333333,0.14066666666666666,Round
0,0.372,0.379,0.1348333333333333,0.14066666666666666,Round
0,0.374,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.379,0.389,0.1348333333333333,0.14066666666666666,Round
0,0.389,0.395,0.1348333333333333,0.14066666666666666,Round
0,0.381,0.388,0.1348333333333333,0.14066666666666666,Round
0,0.383,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.390,0.396,0.1348333333333333,0.14066666666666666,Round
0,0.379,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.405,0.407,0.1348333333333333,0.14066666666666666,Round
0,0.389,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.392,0.397,0.1348333333333333,0.14066666666666666,Round
0,0.391,0.398,0.1348333333333333,0.14066666666666666,Round
0,0.401,0.406,0.1348333333333333,0.14066666666666666,Round
0,0.389,0.393,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.381,0.389,0.1348333333333333,0.14066666666666666,Round
0,0.385,0.394,0.1348333333333333,0.14066666666666666,Round
0,0.387,0.395,0.1348333333333333,0.14066666666666666,Round
0,0.385,0.392,0.1348333333333333,0.14066666666666666,Round
0,0.382,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.384,0.393,0.1348333333333333,0.14066666666666666,Round
0,0.384,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.375,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.385,0.392,0.1348333333333333,0.14066666666666666,Round
0,0.278,0.278,0.1348333333333333,0.14066666666666666,Round
0,0.228,0.219,0.1348333333333333,0.14066666666666666,Round
0,0.213,0.204,0.1348333333333333,0.14066666666666666,Round
0,0.203,0.195,0.1348333333333333,0.14066666666666666,Round
0,0.211,0.200,0.1348333333333333,0.14066666666666666,Round
0,0.212,0.204,0.1348333333333333,0.14066666666666666,Round
0,0.221,0.217,0.1348333333333333,0.14066666666666666,Round
0,0.235,0.231,0.1348333333333333,0.14066666666666666,Round
0,0.276,0.277,0.1348333333333333,0.14066666666666666,Round
0,0.322,0.324,0.1348333333333333,0.14066666666666666,Round
0,0.356,0.363,0.1348333333333333,0.14066666666666666,Round
0,0.368,0.374,0.1348333333333333,0.14066666666666666,Round
0,0.377,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.387,0.397,0.1348333333333333,0.14066666666666666,Round
0,0.383,0.391,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.388,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.389,0.1348333333333333,0.14066666666666666,Round
0,0.376,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.377,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.380,0.391,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.375,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.342,0.351,0.1348333333333333,0.14066666666666666,Round
0,0.239,0.236,0.1348333333333333,0.14066666666666666,Round
0,0.214,0.202,0.1348333333333333,0.14066666666666666,Round
0,0.220,0.207,0.1348333333333333,0.14066666666666666,Round
0,0.207,0.199,0.1348333333333333,0.14066666666666666,Round
0,0.205,0.199,0.1348333333333333,0.14066666666666666,Round
0,0.209,0.199,0.1348333333333333,0.14066666666666666,Round
0,0.194,0.181,0.1348333333333333,0.14066666666666666,Round
0,0.227,0.213,0.1348333333333333,0.14066666666666666,Round
0,0.219,0.203,0.1348333333333333,0.14066666666666666,Round
0,0.207,0.196,0.1348333333333333,0.14066666666666666,Round
0,0.200,0.188,0.1348333333333333,0.14066666666666666,Round
0,0.206,0.192,0.1348333333333333,0.14066666666666666,Round
0,0.222,0.213,0.1348333333333333,0.14066666666666666,Round
0,0.226,0.218,0.1348333333333333,0.14066666666666666,Round
0,0.250,0.243,0.1348333333333333,0.14066666666666666,Round
0,0.244,0.239,0.1348333333333333,0.14066666666666666,Round
0,0.282,0.283,0.1348333333333333,0.14066666666666666,Round
0,0.339,0.343,0.1348333333333333,0.14066666666666666,Round
0,0.351,0.360,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.373,0.1348333333333333,0.14066666666666666,Round
0,0.369,0.377,0.1348333333333333,0.14066666666666666,Round
0,0.372,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.369,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.366,0.378,0.1348333333333333,0.14066666666666666,Round
0,0.366,0.375,0.1348333333333333,0.14066666666666666,Round
0,0.367,0.373,0.1348333333333333,0.14066666666666666,Round
0,0.370,0.380,0.1348333333333333,0.14066666666666666,Round
0,0.375,0.384,0.1348333333333333,0.14066666666666666,Round
0,0.368,0.377,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.261,0.263,0.1348333333333333,0.14066666666666666,Round
0,0.218,0.203,0.1348333333333333,0.14066666666666666,Round
0,0.195,0.186,0.1348333333333333,0.14066666666666666,Round
0,0.207,0.192,0.1348333333333333,0.14066666666666666,Round
0,0.214,0.202,0.1348333333333333,0.14066666666666666,Round
0,0.206,0.195,0.1348333333333333,0.14066666666666666,Round
0,0.205,0.193,0.1348333333333333,0.14066666666666666,Round
0,0.207,0.194,0.1348333333333333,0.14066666666666666,Round
0,0.204,0.194,0.1348333333333333,0.14066666666666666,Round
0,0.212,0.208,0.1348333333333333,0.14066666666666666,Round
0,0.221,0.213,0.1348333333333333,0.14066666666666666,Round
0,0.269,0.269,0.1348333333333333,0.14066666666666666,Round
0,0.317,0.316,0.1348333333333333,0.14066666666666666,Round
0,0.377,0.382,0.1348333333333333,0.14066666666666666,Round
0,0.373,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.367,0.372,0.1348333333333333,0.14066666666666666,Round
0,0.385,0.394,0.1348333333333333,0.14066666666666666,Round
0,0.384,0.395,0.1348333333333333,0.14066666666666666,Round
0,0.383,0.391,0.1348333333333333,0.14066666666666666,Round
0,0.376,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.380,0.390,0.1348333333333333,0.14066666666666666,Round
0,0.387,0.396,0.1348333333333333,0.14066666666666666,Round
0,0.379,0.387,0.1348333333333333,0.14066666666666666,Round
0,0.384,0.394,0.1348333333333333,0.14066666666666666,Round
0,0.373,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.320,0.322,0.1348333333333333,0.14066666666666666,Round
0,0.217,0.212,0.1348333333333333,0.14066666666666666,Round
0,0.207,0.197,0.1348333333333333,0.14066666666666666,Round
0,0.198,0.186,0.1348333333333333,0.14066666666666666,Round
0,0.203,0.188,0.1348333333333333,0.14066666666666666,Round
0,0.213,0.202,0.1348333333333333,0.14066666666666666,Round
0,0.202,0.190,0.1348333333333333,0.14066666666666666,Round
0,0.207,0.198,0.1348333333333333,0.14066666666666666,Round
0,0.211,0.197,0.1348333333333333,0.14066666666666666,Round
0,0.199,0.183,0.1348333333333333,0.14066666666666666,Round
0,0.202,0.189,0.1348333333333333,0.14066666666666666,Round
0,0.215,0.205,0.1348333333333333,0.14066666666666666,Round
0,0.258,0.255,0.1348333333333333,0.14066666666666666,Round
0,0.254,0.252,0.1348333333333333,0.14066666666666666,Round
0,0.276,0.275,0.1348333333333333,0.14066666666666666,Round
0,0.338,0.343,0.1348333333333333,0.14066666666666666,Round
0,0.349,0.354,0.1348333333333333,0.14066666666666666,Round
0,0.354,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.370,0.380,0.1348333333333333,0.14066666666666666,Round
0,0.377,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.388,0.394,0.1348333333333333,0.14066666666666666,Round
0,0.392,0.398,0.1348333333333333,0.14066666666666666,Round
0,0.367,0.376,0.1348333333333333,0.14066666666666666,Round
0,0.375,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.379,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.370,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.359,0.1348333333333333,0.14066666666666666,Round
0,0.255,0.258,0.1348333333333333,0.14066666666666666,Round
0,0.212,0.198,0.1348333333333333,0.14066666666666666,Round
0,0.202,0.186,0.1348333333333333,0.14066666666666666,Round
0,0.201,0.188,0.1348333333333333,0.14066666666666666,Round
0,0.209,0.196,0.1348333333333333,0.14066666666666666,Round
0,0.188,0.176,0.1348333333333333,0.14066666666666666,Round
0,0.193,0.177,0.1348333333333333,0.14066666666666666,Round
0,0.197,0.184,0.1348333333333333,0.14066666666666666,Round
0,0.201,0.186,0.1348333333333333,0.14066666666666666,Round
0,0.215,0.203,0.1348333333333333,0.14066666666666666,Round
0,0.233,0.224,0.1348333333333333,0.14066666666666666,Round
0,0.242,0.237,0.1348333333333333,0.14066666666666666,Round
0,0.286,0.286,0.1348333333333333,0.14066666666666666,Round
0,0.317,0.318,0.1348333333333333,0.14066666666666666,Round
0,0.346,0.348,0.1348333333333333,0.14066666666666666,Round
0,0.349,0.357,0.1348333333333333,0.14066666666666666,Round
0,0.365,0.372,0.1348333333333333,0.14066666666666666,Round
0,0.376,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.369,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.384,0.1348333333333333,0.14066666666666666,Round
0,0.364,0.376,0.1348333333333333,0.14066666666666666,Round
0,0.367,0.374,0.1348333333333333,0.14066666666666666,Round
0,0.372,0.380,0.1348333333333333,0.14066666666666666,Round
0,0.375,0.384,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.391,0.1348333333333333,0.14066666666666666,Round
0,0.360,0.368,0.1348333333333333,0.14066666666666666,Round
0,0.270,0.272,0.1348333333333333,0.14066666666666666,Round
0,0.201,0.186,0.1348333333333333,0.14066666666666666,Round
0,0.212,0.197,0.1348333333333333,0.14066666666666666,Round
0,0.212,0.198,0.1348333333333333,0.14066666666666666,Round
0,0.220,0.207,0.1348333333333333,0.14066666666666666,Round
0,0.212,0.203,0.1348333333333333,0.14066666666666666,Round
0,0.236,0.226,0.1348333333333333,0.14066666666666666,Round
0,0.258,0.251,0.1348333333333333,0.14066666666666666,Round
0,0.274,0.274,0.1348333333333333,0.14066666666666666,Round
0,0.332,0.332,0.1348333333333333,0.14066666666666666,Round
0,0.352,0.361,0.1348333333333333,0.14066666666666666,Round
0,0.345,0.349,0.1348333333333333,0.14066666666666666,Round
0,0.361,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.374,0.379,0.1348333333333333,0.14066666666666666,Round
0,0.355,0.359,0.1348333333333333,0.14066666666666666,Round
0,0.363,0.368,0.1348333333333333,0.14066666666666666,Round
0,0.371,0.382,0.1348333333333333,0.14066666666666666,Round
0,0.367,0.376,0.1348333333333333,0.14066666666666666,Round
0,0.362,0.373,0.1348333333333333,0.14066666666666666,Round
0,0.368,0.379,0.1348333333333333,0.14066666666666666,Round
0,0.358,0.361,0.1348333333333333,0.14066666666666666,Round
0,0.362,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.356,0.358,0.1348333333333333,0.14066666666666666,Round
0,0.354,0.356,0.1348333333333333,0.14066666666666666,Round
0,0.232,0.228,0.1348333333333333,0.14066666666666666,Round
0,0.193,0.180,0.1348333333333333,0.14066666666666666,Round
0,0.207,0.191,0.1348333333333333,0.14066666666666666,Round
0,0.200,0.182,0.1348333333333333,0.14066666666666666,Round
0,0.202,0.188,0.1348333333333333,0.14066666666666666,Round
0,0.196,0.182,0.1348333333333333,0.14066666666666666,Round
0,0.210,0.195,0.1348333333333333,0.14066666666666666,Round
0,0.211,0.197,0.1348333333333333,0.14066666666666666,Round
0,0.214,0.205,0.1348333333333333,0.14066666666666666,Round
0,0.210,0.201,0.1348333333333333,0.14066666666666666,Round
0,0.234,0.228,0.1348333333333333,0.14066666666666666,Round
0,0.264,0.263,0.1348333333333333,0.14066666666666666,Round
0,0.302,0.307,0.1348333333333333,0.14066666666666666,Round
0,0.340,0.342,0.1348333333333333,0.14066666666666666,Round
0,0.359,0.368,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.385,0.1348333333333333,0.14066666666666666,Round
0,0.376,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.388,0.393,0.1348333333333333,0.14066666666666666,Round
0,0.372,0.380,0.1348333333333333,0.14066666666666666,Round
0,0.376,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.373,0.383,0.1348333333333333,0.14066666666666666,Round
0,0.361,0.367,0.1348333333333333,0.14066666666666666,Round
0,0.373,0.381,0.1348333333333333,0.14066666666666666,Round
0,0.379,0.386,0.1348333333333333,0.14066666666666666,Round
0,0.372,0.379,0.1348333333333333,0.14066666666666666,Round
0,0.378,0.384,0.1348333333333333,0.14066666666666666,Round
